District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,NA,1,NA,NA,NA,NA,4,NA,NA,1,15,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,21,NA,32,1,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,14,NA,NA,NA,13,13,NA,NA,NA,17,NA,NA,NA
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,4,2,NA,NA,NA,NA,9,1314,13,6,NA,NA,8,6,3,1,NA,NA,NA,NA,NA,7,NA,7,13,30,NA,60,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,9,NA,NA,NA,76,9,NA,9,9,NA,NA,NA,NA
Tarn Taran,NA,1,NA,2,NA,NA,NA,2,NA,2,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,11,NA,13,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,3,NA,2,NA,NA,2,2,NA,NA,NA,NA
Jalandhar,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,10,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,1,1,NA,NA,NA,NA
SBS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,5,5,4,10,NA,NA,1,NA,NA,NA,NA,NA,NA,10,2,1,12,NA,17,2,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,2,7,NA,3,9,3,1,NA,NA,NA,1,1,NA,NA
Rupnagar,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,NA,NA,3,NA,NA,2,4,2,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
