Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
dadra & nagar haveli,3.614704922,0.645537217,2.969167705
daman,2.853534384,1.308995942,1.544538442
diu,5.79981831,1.597536193,0.819836479
north  & middle andaman,1.3148171,0.0,1.3148171
south andaman,1.443452407,0.0,1.443452407
nicobars,0.090612489,0.0,0.090612489
srikakulam,4.01307877,0.566374643,3.446704127
vizianagaram,1.110588388,0.320586402,0.790001986
visakhapatnam,1.175590784,0.439675977,0.735914807
krishna,4.604283716,1.597536193,0.709710375
guntur,8.323627750875,0.999528068,7.660317975750001
east godavari,6.191781457,1.597536193,3.702696517
prakasam,1.152408401,0.273749091,0.87865931
kurnool,0.793739864,0.504632198,0.289107666
anantapur,0.698641838,0.216018195,0.482623643
sri potti sriramulu nell*,4.296954395,1.597536193,0.688735282
west godavari,5.603589524,1.597536193,3.539250333
y.s.r.,1.141752714,1.095797136,0.045955578
chittoor,0.573483172,0.068957975,0.504525197
upper subansiri,1.234996868,0.078758779,1.156238089
anjaw,1.599292296,0.251543379,1.347748917
changlang,2.538486995,0.021259348,2.517227647
tawang,1.104117118,0.227751689,0.876365429
papum pare,0.846868747,0.021507801,0.825360946
tirap,0.650808941,0.020888139,0.629920802
east siang,3.916385666,1.35629866,2.560087006
lohit,2.719050727,0.57149925,2.147551477
kurung kumey,0.581168345,0.025194178,0.555974167
lower subansiri,0.836132857,0.006756278,0.829376579
east kameng,1.388336152,0.061410827,1.326925325
west kameng,1.93207052,0.043990415,1.888080105
kra daadi,1.846265574,0.008415915,1.837849659
namsai,4.082402322,0.299110207,3.783292115
longding,0.638916752,0.0,0.638916752
upper siang,2.722491305,0.336009842,2.386481463
lower siang,2.214148435,0.042159747,2.171988688
upper dibang valley,1.084032399,0.372682252,0.711350147
lower dibang valley,1.560368914,0.162468901,1.397900013
siang,2.518308001,0.498407734,2.019900267
shi yomi,0.730870815,0.051292052,0.679578763
pakke kessang,1.745384121,0.023431627,1.721952494
west siang,0.744207577,0.123427923,0.620779654
lepa rada,0.870628148,0.0,0.870628148
kamle,2.140222737,0.304270955,1.835951782
tinsukia,6.140689939,1.259207522,4.881482417
dhemaji,8.323627750875,1.436232391,7.660317975750001
